id,text,region,difficulty,language_style,enabled,task_shape,recording_mode,region_scope,conversation_id,turn_index,turn_count,template_id
VI_NORTH_E_0001,Bật rèm cửa ở phòng ngủ.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0002,Tắt đèn trần ở phòng ngủ.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0003,Mở rèm bên trái ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0004,Tắt led tủ ở phòng thờ.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0005,Bật led tủ ở phòng ngủ.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0006,Bật cửa cuốn ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0007,Bật đèn ban công ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0008,Tắt quạt phòng làm việc.,north,easy,standard,true,atomic,single,north,,,,E-STD-012
VI_NORTH_E_0009,Bật đèn sưởi ở phòng làm việc.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0010,Bật máy lạnh ở phòng ngủ chính.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0011,Mở rèm vải ở phòng ngủ chính.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0012,Đóng rèm phòng thờ.,north,easy,standard,true,atomic,single,north,,,,E-STD-008
VI_NORTH_E_0013,Mở rèm voan ở phòng ngủ nhỏ.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0014,Tắt đèn trần ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0015,Tắt đèn phòng ngủ chính.,north,easy,standard,true,atomic,single,north,,,,E-STD-006
VI_NORTH_E_0016,Tắt đèn ban công ở phòng ngủ.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0017,Mở cửa cuốn ở phòng bếp.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0018,Bật đèn sưởi ở phòng ăn.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0019,Tắt bình nóng lạnh ở phòng ngủ nhỏ.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0020,Mở rèm bên trái ở phòng làm việc.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0021,Bật đèn tường ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0022,Tắt đèn khu vực hành lang.,north,easy,standard,true,atomic,single,north,,,,E-STD-022
VI_NORTH_E_0023,Bật đèn hắt trần ở phòng bếp.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0024,Mở rèm bên phải ở phòng thờ.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0025,Bật rèm cửa ở phòng ăn.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0026,Bật bình nóng lạnh ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0027,Bật điều hòa ở phòng ngủ nhỏ.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0028,Mở rèm phòng ngủ nhỏ.,north,easy,standard,true,atomic,single,north,,,,E-STD-007
VI_NORTH_E_0029,Tắt đèn tường ở phòng ăn.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0030,Tắt led tủ ở phòng ngủ chính.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0031,Tắt đèn trang trí.,north,easy,standard,true,atomic,single,north,,,,E-STD-018
VI_NORTH_E_0032,Bật tất cả đèn ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-013
VI_NORTH_E_0033,Tắt đèn tường ở phòng ngủ.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0034,Mở cổng chính ở phòng ngủ nhỏ.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0035,Bật đèn ban công ở phòng ăn.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0036,Bật đèn wc ở phòng làm việc.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0037,Đóng màn cửa ở phòng ngủ.,north,easy,standard,true,atomic,single,north,,,,E-STD-004
VI_NORTH_E_0038,Bật đèn tường ở phòng ngủ nhỏ.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0039,Mở rèm phòng ngủ.,north,easy,standard,true,atomic,single,north,,,,E-STD-007
VI_NORTH_E_0040,Tắt led tủ ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0041,Bật đèn trần ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0042,Đóng rèm voan ở phòng thờ.,north,easy,standard,true,atomic,single,north,,,,E-STD-004
VI_NORTH_E_0043,Tắt điều hòa ở phòng bếp.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0044,Bật downlight ở phòng làm việc.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0045,Đóng rèm cửa ở phòng ăn.,north,easy,standard,true,atomic,single,north,,,,E-STD-004
VI_NORTH_E_0046,Mở rèm phòng khách ở phòng thờ.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0047,Tắt quạt trần ở phòng thờ.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0048,Bật đèn hắt phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-017
VI_NORTH_E_0049,Tắt máy lạnh ở phòng thờ.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0050,Mở rèm bên phải ở phòng bếp.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0051,Bật quạt phòng ngủ chính.,north,easy,standard,true,atomic,single,north,,,,E-STD-011
VI_NORTH_E_0052,Tắt đèn chùm ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0053,Tắt quạt trần ở phòng bếp.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0054,Tắt đèn âm trần ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0055,Tắt đèn hắt ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0056,Tắt nóng lạnh ở phòng ngủ chính.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0057,Mở rèm bên trái ở phòng ngủ chính.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0058,Mở rèm bên trái ở phòng ngủ.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0059,Mở rèm cửa ở phòng làm việc.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0060,Mở cổng chính ở phòng thờ.,north,easy,standard,true,atomic,single,north,,,,E-STD-003
VI_NORTH_E_0061,Bật đèn phòng ngủ chính.,north,easy,standard,true,atomic,single,north,,,,E-STD-005
VI_NORTH_E_0062,Tắt điều hòa phòng thờ.,north,easy,standard,true,atomic,single,north,,,,E-STD-010
VI_NORTH_E_0063,Tắt đèn khu vực cầu thang.,north,easy,standard,true,atomic,single,north,,,,E-STD-022
VI_NORTH_E_0064,Bật đèn sưởi ở phòng ngủ chính.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0065,Tắt đèn tường ở phòng làm việc.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0066,Tắt led tủ ở phòng ngủ.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0067,Bật bình nóng lạnh nhà tắm.,north,easy,standard,true,atomic,single,north,,,,E-STD-017
VI_NORTH_E_0068,Bật đèn khu vực khu vực sofa.,north,easy,standard,true,atomic,single,north,,,,E-STD-021
VI_NORTH_E_0069,Tắt quạt trần ở phòng khách.,north,easy,standard,true,atomic,single,north,,,,E-STD-002
VI_NORTH_E_0070,Bật đèn âm trần ở phòng thờ.,north,easy,standard,true,atomic,single,north,,,,E-STD-001
VI_NORTH_E_0071,Bật máy lạnh phòng làm việc lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0072,Tắt quạt hút phòng ngủ chính đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0073,Tắt quạt phòng ngủ nhỏ đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0074,Tắt đèn hắt phòng ăn đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0075,Tắt đèn chùm phòng ngủ chính đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0076,Bật rèm cửa phòng ăn lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0077,Tắt đèn tường phòng làm việc đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0078,Tắt quạt trần phòng thờ đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0079,Tắt rèm cửa phòng ăn đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0080,Tắt đèn hắt phòng bếp đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0081,Tắt điều hòa phòng ngủ đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0082,Tắt đèn trần phòng ngủ chính đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0083,Tắt đèn tường phòng thờ đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0084,Cho quạt phòng bếp chạy đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-004
VI_NORTH_E_0085,Bật đèn ban công phòng ngủ nhỏ lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0086,Tắt nóng lạnh phòng ăn đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0087,Bật led tủ phòng làm việc lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0088,Bật quạt hút phòng bếp lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0089,Cho quạt phòng ăn chạy đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-004
VI_NORTH_E_0090,Bật rèm cửa phòng khách lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0091,Bật quạt phòng ăn lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0092,Bật máy lạnh phòng ngủ nhỏ lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0093,Tắt bình nóng lạnh phòng thờ đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0094,Bật đèn tường phòng thờ lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0095,Bật đèn âm trần phòng ăn lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0096,Tắt đèn wc phòng bếp đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_E_0097,Bật đèn hắt trần phòng ăn lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0098,Bật bình nóng lạnh phòng làm việc lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0099,Bật rèm cửa phòng bếp lên.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-001
VI_NORTH_E_0100,Tắt led tủ phòng ngủ nhỏ đi.,north,easy,regional,true,atomic,single,north,,,,E-NORTH-002
VI_NORTH_N_0001,Giảm độ sáng đèn hành lang xuống 60%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0002,Đèn phòng ăn đang bật hay tắt?,north,normal,standard,true,compound,single,north,,,,N-STD-029
VI_NORTH_N_0003,Chuyển đèn wc sang ánh sáng trắng.,north,normal,standard,true,compound,single,north,,,,N-STD-020
VI_NORTH_N_0004,Giảm độ sáng đèn wc xuống 30%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0005,Chuyển điều hòa phòng ngủ nhỏ sang chế độ quạt.,north,normal,standard,true,compound,single,north,,,,N-STD-010
VI_NORTH_N_0006,Đặt quạt phòng ngủ ở mức 3.,north,normal,standard,true,compound,single,north,,,,N-STD-026
VI_NORTH_N_0007,Giảm điều hòa phòng ngủ chính đi 1 độ.,north,normal,standard,true,compound,single,north,,,,N-STD-008
VI_NORTH_N_0008,Mở rèm phòng bếp 50%.,north,normal,standard,true,compound,single,north,,,,N-STD-021
VI_NORTH_N_0009,Chỉnh điều hòa phòng làm việc xuống 22 độ.,north,normal,standard,true,compound,single,north,,,,N-STD-004
VI_NORTH_N_0010,Giảm độ sáng đèn sân vườn xuống 50%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0011,Đặt độ sáng đèn âm trần ở mức 80%.,north,normal,standard,true,compound,single,north,,,,N-STD-011
VI_NORTH_N_0012,Đặt nhiệt độ màu của đèn âm trần là 3000 K.,north,normal,standard,true,compound,single,north,,,,N-STD-018
VI_NORTH_N_0013,Tăng nhiệt độ điều hòa phòng ngủ lên 26 độ.,north,normal,standard,true,compound,single,north,,,,N-STD-005
VI_NORTH_N_0014,Chuyển downlight sang ánh sáng trắng.,north,normal,standard,true,compound,single,north,,,,N-STD-020
VI_NORTH_N_0015,Chỉnh điều hòa phòng ngủ nhỏ xuống 26 độ.,north,normal,standard,true,compound,single,north,,,,N-STD-004
VI_NORTH_N_0016,Đèn tường đang bật không?,north,normal,standard,true,compound,single,north,,,,N-STD-030
VI_NORTH_N_0017,Giảm độ sáng đèn bàn xuống 80%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0018,Tăng nhiệt độ điều hòa phòng khách lên 26 độ.,north,normal,standard,true,compound,single,north,,,,N-STD-005
VI_NORTH_N_0019,Tăng độ sáng downlight lên 50%.,north,normal,standard,true,compound,single,north,,,,N-STD-013
VI_NORTH_N_0020,Giảm nhiệt độ điều hòa phòng ăn xuống 28 độ.,north,normal,standard,true,compound,single,north,,,,N-STD-006
VI_NORTH_N_0021,Chỉnh điều hòa phòng làm việc xuống 24 độ.,north,normal,standard,true,compound,single,north,,,,N-STD-004
VI_NORTH_N_0022,Bật điều hòa phòng làm việc và mở rèm.,north,normal,standard,true,compound,single,north,,,,N-STD-001
VI_NORTH_N_0023,Chuyển đèn trong phòng ngủ chính sang ánh sáng ấm.,north,normal,standard,true,compound,single,north,,,,N-STD-019
VI_NORTH_N_0024,Đóng rèm phòng ngủ còn 70%.,north,normal,standard,true,compound,single,north,,,,N-STD-022
VI_NORTH_N_0025,Giảm độ sáng đèn ngủ xuống 20%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0026,Mở rèm phòng thờ 60%.,north,normal,standard,true,compound,single,north,,,,N-STD-021
VI_NORTH_N_0027,Đặt độ sáng downlight ở mức 40%.,north,normal,standard,true,compound,single,north,,,,N-STD-011
VI_NORTH_N_0028,Tắt đèn ban công phòng ngủ và đóng rèm.,north,normal,standard,true,compound,single,north,,,,N-STD-002
VI_NORTH_N_0029,Mở rèm phòng ngủ một nửa.,north,normal,standard,true,compound,single,north,,,,N-STD-023
VI_NORTH_N_0030,Đặt điều hòa phòng làm việc ở 26 độ.,north,normal,standard,true,compound,single,north,,,,N-STD-003
VI_NORTH_N_0031,Giảm độ sáng đèn hắt xuống 70%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0032,Đặt độ sáng đèn bàn ở mức 60%.,north,normal,standard,true,compound,single,north,,,,N-STD-011
VI_NORTH_N_0033,Mở rèm phòng khách 75%.,north,normal,standard,true,compound,single,north,,,,N-STD-021
VI_NORTH_N_0034,Đặt nhiệt độ màu của đèn hắt là 3000 K.,north,normal,standard,true,compound,single,north,,,,N-STD-018
VI_NORTH_N_0035,Tăng độ sáng đèn wc lên 100%.,north,normal,standard,true,compound,single,north,,,,N-STD-013
VI_NORTH_N_0036,Tắt nóng lạnh phòng ngủ và đóng rèm.,north,normal,standard,true,compound,single,north,,,,N-STD-002
VI_NORTH_N_0037,Chỉnh điều hòa phòng ngủ chính xuống 28 độ.,north,normal,standard,true,compound,single,north,,,,N-STD-004
VI_NORTH_N_0038,Tăng độ sáng đèn tường lên 20%.,north,normal,standard,true,compound,single,north,,,,N-STD-013
VI_NORTH_N_0039,Giảm nhiệt độ điều hòa phòng khách xuống 26 độ.,north,normal,standard,true,compound,single,north,,,,N-STD-006
VI_NORTH_N_0040,Mở rèm phòng khách 40%.,north,normal,standard,true,compound,single,north,,,,N-STD-021
VI_NORTH_N_0041,Tăng độ sáng đèn âm trần lên 70%.,north,normal,standard,true,compound,single,north,,,,N-STD-013
VI_NORTH_N_0042,Bật đèn tường phòng làm việc và mở rèm.,north,normal,standard,true,compound,single,north,,,,N-STD-001
VI_NORTH_N_0043,Giảm độ sáng đèn sảnh xuống 80%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0044,Bật đèn sưởi phòng ăn và mở rèm.,north,normal,standard,true,compound,single,north,,,,N-STD-001
VI_NORTH_N_0045,Đặt điều hòa phòng khách ở 25 độ.,north,normal,standard,true,compound,single,north,,,,N-STD-003
VI_NORTH_N_0046,Giảm độ sáng đèn thả xuống 50%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0047,Giảm độ sáng đèn soi tranh xuống 30%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0048,Đặt điều hòa phòng ngủ chính ở 27 độ.,north,normal,standard,true,compound,single,north,,,,N-STD-003
VI_NORTH_N_0049,Giảm độ sáng đèn sảnh xuống 70%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0050,Đóng rèm phòng ngủ chính còn 60%.,north,normal,standard,true,compound,single,north,,,,N-STD-022
VI_NORTH_N_0051,Tăng độ sáng đèn âm trần lên 40%.,north,normal,standard,true,compound,single,north,,,,N-STD-013
VI_NORTH_N_0052,Tắt nóng lạnh phòng ngủ chính và đóng rèm.,north,normal,standard,true,compound,single,north,,,,N-STD-002
VI_NORTH_N_0053,Giảm độ sáng đèn ban công xuống 40%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0054,Giảm độ sáng đèn âm trần xuống 30%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0055,Giảm độ sáng đèn hắt trần xuống 100%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0056,Tăng độ sáng đèn hiên lên 30%.,north,normal,standard,true,compound,single,north,,,,N-STD-013
VI_NORTH_N_0057,Giảm độ sáng led tủ xuống 50%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0058,Giảm sáng phòng ăn đi một nửa.,north,normal,standard,true,compound,single,north,,,,N-STD-017
VI_NORTH_N_0059,Rèm phòng ngủ chính đã đóng chưa?,north,normal,standard,true,compound,single,north,,,,N-STD-034
VI_NORTH_N_0060,Tắt đèn tường phòng ngủ chính và đóng rèm.,north,normal,standard,true,compound,single,north,,,,N-STD-002
VI_NORTH_N_0061,Đặt độ sáng downlight ở mức 70%.,north,normal,standard,true,compound,single,north,,,,N-STD-011
VI_NORTH_N_0062,Đặt độ sáng đèn soi tranh ở mức 40%.,north,normal,standard,true,compound,single,north,,,,N-STD-011
VI_NORTH_N_0063,Chuyển điều hòa phòng ngủ chính sang chế độ quạt.,north,normal,standard,true,compound,single,north,,,,N-STD-010
VI_NORTH_N_0064,Tắt đèn hắt trần phòng ăn và đóng rèm.,north,normal,standard,true,compound,single,north,,,,N-STD-002
VI_NORTH_N_0065,Mở rèm phòng ngủ 45%.,north,normal,standard,true,compound,single,north,,,,N-STD-021
VI_NORTH_N_0066,Giảm sáng phòng làm việc đi một nửa.,north,normal,standard,true,compound,single,north,,,,N-STD-017
VI_NORTH_N_0067,Bật đèn bàn ăn rồi giảm xuống 40% thôi.,north,normal,standard,true,compound,single,north,,,,N-STD-069
VI_NORTH_N_0068,Giảm độ sáng đèn sảnh xuống 60%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0069,Trong phòng thờ còn thiết bị nào đang hoạt động?,north,normal,standard,true,compound,single,north,,,,N-STD-035
VI_NORTH_N_0070,Giảm độ sáng đèn sân vườn xuống 30%.,north,normal,standard,true,compound,single,north,,,,N-STD-012
VI_NORTH_N_0071,Bật đèn hắt phòng ngủ chính rồi mở rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-001
VI_NORTH_N_0072,Bật đèn chùm phòng ăn rồi mở rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-001
VI_NORTH_N_0073,Tắt đèn ban công phòng thờ và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0074,Tắt cửa cuốn phòng làm việc và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0075,Tắt quạt hút phòng ăn và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0076,Tắt điều hòa phòng ngủ chính và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0077,Tắt đèn âm trần phòng thờ và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0078,Bật cửa cuốn phòng ngủ chính rồi mở rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-001
VI_NORTH_N_0079,Tắt đèn tường phòng bếp và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0080,Tắt bình nóng lạnh phòng ngủ nhỏ và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0081,Tắt led tủ phòng khách và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0082,Bật đèn ban công phòng ngủ nhỏ rồi mở rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-001
VI_NORTH_N_0083,Bật đèn phòng ngủ và mở rèm nhé.,north,normal,regional,true,compound,single,north,,,,N-NORTH-003
VI_NORTH_N_0084,Tắt đèn hắt phòng ngủ nhỏ và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0085,Tắt quạt hút phòng ngủ chính và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0086,Tắt quạt hút phòng làm việc và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0087,Bật led tủ phòng ngủ nhỏ rồi mở rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-001
VI_NORTH_N_0088,Tắt đèn trần phòng khách và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0089,Bật bình nóng lạnh phòng ngủ rồi mở rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-001
VI_NORTH_N_0090,Tắt downlight phòng bếp và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0091,Bật máy lạnh phòng ngủ chính rồi mở rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-001
VI_NORTH_N_0092,Tắt đèn âm trần phòng làm việc và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0093,Tắt đèn sưởi phòng ngủ nhỏ và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0094,Bật led tủ phòng ngủ chính rồi mở rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-001
VI_NORTH_N_0095,Bật đèn hắt phòng khách rồi mở rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-001
VI_NORTH_N_0096,Bật đèn sưởi phòng bếp rồi mở rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-001
VI_NORTH_N_0097,Tắt đèn ban công phòng ngủ chính và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0098,Tắt cửa cuốn phòng thờ và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0099,Tắt đèn chùm phòng làm việc và đóng rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-002
VI_NORTH_N_0100,Bật cửa cuốn phòng khách rồi mở rèm.,north,normal,regional,true,compound,single,north,,,,N-NORTH-001
VI_NORTH_H_0001,Giảm đèn thả xuống 40%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-024
VI_NORTH_H_0002,Để nó ở mức 60%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-017
VI_NORTH_H_0003,Giảm đèn chùm xuống 30%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-024
VI_NORTH_H_0004,Giảm đèn hành lang xuống 50%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-024
VI_NORTH_H_0005,Tăng led trần lên 40%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-023
VI_NORTH_H_0006,Cho đèn thả sáng 70%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-027
VI_NORTH_H_0007,Tăng đèn ray lên 50%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-023
VI_NORTH_H_0008,Đặt đèn thả ở 70%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-026
VI_NORTH_H_0009,Tăng đèn ray lên 70%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-023
VI_NORTH_H_0010,Giảm đèn hắt xuống 80%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-024
VI_NORTH_H_0011,Giảm đèn ban công xuống 50%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-024
VI_NORTH_H_0012,Tăng đèn bàn ăn lên 50%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-023
VI_NORTH_H_0013,Tăng led hắt lên 60%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-023
VI_NORTH_H_0014,Cho đèn sân vườn sáng 20%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-027
VI_NORTH_H_0015,Giảm led tủ xuống 60%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-024
VI_NORTH_H_0016,Giảm đèn sân vườn xuống 80%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-024
VI_NORTH_H_0017,Đặt đèn sân vườn ở 50%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-026
VI_NORTH_H_0018,Cho đèn hắt sáng 40%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-027
VI_NORTH_H_0019,Cho đèn trần sáng 70%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-027
VI_NORTH_H_0020,Cho led hắt sáng 100%.,north,hard,standard,true,ambiguous,single,north,,,,H-STD-027
